RAT,DecoderDissector,WiresharkPayload
NR,BCCH-BCH-Message,nr-rrc.bcch.bch
NR,BCCH-DL-SCH-Message,nr-rrc.bcch.dl.sch
NR,DL-CCCH-Message,nr-rrc.dl.ccch
NR,DL-DCCH-Message,nr-rrc.dl.dcch
NR,PCCH-Message,nr-rrc.pcch
NR,MCCH-Message,nr-rrc.mcch
NR,UL-CCCH-Message,nr-rrc.ul.ccch
NR,UL-DCCH-Message,nr-rrc.ul.dcch
LTE,BCCH-BCH-Message,lte-rrc.bcch.bch
LTE,BCCH-DL-SCH-Message,lte-rrc.bcch.dl.sch
LTE,DL-CCCH-Message,lte-rrc.dl.ccch
LTE,DL-DCCH-Message,lte-rrc.dl.dcch
LTE,PCCH-Message,lte-rrc.pcch
LTE,MCCH-Message,lte-rrc.mcch
LTE,UL-CCCH-Message,lte-rrc.ul.ccch
LTE,UL-DCCH-Message,lte-rrc.ul.dcch
WCDMA,NAS,nas-eps_plain
NAS,NAS-EPS_plain,nas-eps_plain
WCDMA,L3,gsm_a_dtap
WCDMA,BCCH_BCH_Message,rrc.bcch.bch
WCDMA,BCCH_FACH_Message,rrc.bcch.fach
WCDMA,DL_CCCH_Message,rrc.dl.ccch
WCDMA,DL_DCCH_Message,rrc.dl.dcch
WCDMA,DL_SHCCH_Message,rrc.dl.shcch
WCDMA,MCCH_Message,rrc.mcch
WCDMA,MSCH_Message,rrc.msch
WCDMA,PCCH_Message,rrc.pcch
WCDMA,RRC.SI.MIB,rrc.si.mib
WCDMA,RRC.SI.SB1,Nocontent
WCDMA,RRC.SI.SB2,Nocontent
WCDMA,RRC.SI.SIB1,rrc.si.sib1
WCDMA,RRC.SI.SIB10,rrc.si.sib10
WCDMA,RRC.SI.SIB11,rrc.si.sib11
WCDMA,RRC.SI.SIB11bis,rrc.si.sib11bis
WCDMA,RRC.SI.SIB12,rrc.si.sib12
WCDMA,RRC.SI.SIB13,rrc.si.sib13
WCDMA,RRC.SI.SIB13-1,rrc.si.sib13-1
WCDMA,RRC.SI.SIB13-2,rrc.si.sib13-2
WCDMA,RRC.SI.SIB13-3,rrc.si.sib13-3
WCDMA,RRC.SI.SIB13-4,rrc.si.sib13-4
WCDMA,RRC.SI.SIB14,rrc.si.sib14
WCDMA,RRC.SI.SIB15,rrc.si.sib15
WCDMA,RRC.SI.SIB15bis,rrc.si.sib15bis
WCDMA,RRC.SI.SIB15-1,rrc.si.sib15-1
WCDMA,RRC.SI.SIB15-1bis,rrc.si.sib15-1bis
WCDMA,RRC.SI.SIB15-2,rrc.si.sib15-2
WCDMA,RRC.SI.SIB15-2bis,rrc.si.sib15-2bis
WCDMA,RRC.SI.SIB15-3,rrc.si.sib15-3
WCDMA,RRC.SI.SIB15-3bis,rrc.si.sib15-3bis
WCDMA,RRC.SI.SIB15-4,rrc.si.sib15-4
WCDMA,RRC.SI.SIB15-5,rrc.si.sib15-5
WCDMA,RRC.SI.SIB15-6,rrc.si.sib15-6
WCDMA,RRC.SI.SIB15-7,rrc.si.sib15-7
WCDMA,RRC.SI.SIB15-8,rrc.si.sib15-8
WCDMA,RRC.SI.SIB16,rrc.si.sib16
WCDMA,RRC.SI.SIB17,rrc.si.sib17
WCDMA,RRC.SI.SIB18,rrc.si.sib18
WCDMA,RRC.SI.SIB19,rrc.si.sib19
WCDMA,RRC.SI.SIB2,rrc.si.sib2
WCDMA,RRC.SI.SIB3,rrc.si.sib3
WCDMA,RRC.SI.SIB4,rrc.si.sib4
WCDMA,RRC.SI.SIB5,rrc.si.sib5
WCDMA,RRC.SI.SIB5bis,rrc.si.sib5bis
WCDMA,RRC.SI.SIB6,rrc.si.sib6
WCDMA,RRC.SI.SIB7,rrc.si.sib7
WCDMA,RRC.SI.SIB8,rrc.si.sib8
WCDMA,RRC.SI.SIB9,rrc.si.sib9
WCDMA,RRC.SYSINFO.CONT,[MalformedPacket
WCDMA,UL_CCCH_Message,rrc.ul.ccch
WCDMA,UL_DCCH_Message,rrc.ul.dcch
WCDMA,UL_SHCCH_Message,rrc.ul.shcch
GSM,GAN.TCP,umatcp
GSM,GAN.UDP,umaudp
GSM,GSM.RLCMAC.DL,gsm_rlcmac_dl
GSM,GSM.RLCMAC.UL,gsm_rlcmac_ul
GSM,L3,gsm_a_dtap
GSM,LLC,llcgprs
GSM,RR,gsm_a_dtap
GSM,RR_pseudo_length,gsm_a_ccch
GSM,RR_short_PD,gsm_a_sacch
GSM,SNDCP,sndcp
GSM,SNDCPXID,sndcpxid
